sale_id,sale_date,vehicle_type,brand,fuel_type,city,km_driven,vehicle_age_years,selling_price,procurement_cost,delivery_days,inspection_status,profit
196,2023-01-09 03:00:00,Bike,TVS,Electric,Bangalore,31128,9,69845,92219,1,Fail,-22374
197,2023-01-09 04:00:00,Bike,TVS,Petrol,Hyderabad,70172,8,172002,20839,7,Pass,151163
198,2023-01-09 05:00:00,Bike,Honda,Electric,Bangalore,46746,1,135853,39992,5,Pass,95861
199,2023-01-09 06:00:00,Bike,Yamaha,Petrol,Bangalore,11661,3,133417,128154,4,Pass,5263
200,2023-01-09 07:00:00,Bike,Bajaj,Petrol,Chennai,89610,7,138436,138094,5,Pass,342
201,2023-01-09 08:00:00,Bike,Hero,Petrol,Bangalore,92938,5,46159,59938,10,Pass,-13779
202,2023-01-09 09:00:00,Bike,TVS,Petrol,Bangalore,3310,6,114788,139015,10,Pass,-24227
203,2023-01-09 10:00:00,Bike,Honda,Electric,Coimbatore,60360,6,49003,71249,6,Pass,-22246
204,2023-01-09 11:00:00,Bike,Honda,Petrol,Chennai,77699,1,130722,59735,12,Pass,70987
205,2023-01-09 12:00:00,Bike,Bajaj,Petrol,Coimbatore,72188,3,60139,118313,10,Fail,-58174
206,2023-01-09 13:00:00,Bike,TVS,Petrol,Coimbatore,66048,9,77452,65734,6,Pass,11718
207,2023-01-09 14:00:00,Bike,Yamaha,Petrol,Hyderabad,62863,9,47205,62080,1,Pass,-14875
208,2023-01-09 15:00:00,Bike,TVS,Electric,Hyderabad,11662,5,81955,89460,2,Pass,-7505
209,2023-01-09 16:00:00,Bike,Bajaj,Petrol,Chennai,88358,2,32464,96457,3,Pass,-63993
210,2023-01-09 17:00:00,Bike,Bajaj,Petrol,Chennai,74035,8,34840,39260,4,Pass,-4420
211,2023-01-09 18:00:00,Bike,TVS,Petrol,Hyderabad,7719,3,65768,74607,6,Pass,-8839
212,2023-01-09 19:00:00,Bike,Bajaj,Petrol,Hyderabad,71364,9,165533,76852,12,Pass,88681
213,2023-01-09 20:00:00,Bike,TVS,Petrol,Hyderabad,4121,1,45927,43380,12,Pass,2547
214,2023-01-09 21:00:00,Bike,Hero,Petrol,Hyderabad,90292,5,123622,99347,11,Pass,24275
215,2023-01-09 22:00:00,Bike,TVS,Petrol,Hyderabad,44933,0,40329,86257,13,Pass,-45928
216,2023-01-09 23:00:00,Bike,TVS,Petrol,Coimbatore,77350,5,40791,56191,9,Fail,-15400
217,2023-01-10 00:00:00,Bike,Bajaj,Petrol,Chennai,66688,9,77627,19930,12,Pass,57697
218,2023-01-10 01:00:00,Bike,Bajaj,Petrol,Coimbatore,55451,0,153885,19353,2,Pass,134532
219,2023-01-10 02:00:00,Bike,Honda,Petrol,Coimbatore,82218,7,170444,22832,8,Pass,147612
220,2023-01-10 03:00:00,Bike,Honda,Petrol,Bangalore,37058,4,134554,135063,9,Pass,-509
221,2023-01-10 04:00:00,Bike,Hero,Petrol,Coimbatore,16159,5,155436,64554,2,Pass,90882
222,2023-01-10 05:00:00,Bike,Honda,Petrol,Hyderabad,34913,1,112073,103487,9,Pass,8586
223,2023-01-10 06:00:00,Bike,TVS,Petrol,Hyderabad,10935,1,59370,69017,7,Pass,-9647
224,2023-01-10 07:00:00,Bike,Bajaj,Petrol,Bangalore,54411,8,76408,72298,9,Pass,4110
225,2023-01-10 08:00:00,Bike,Honda,Petrol,Bangalore,28567,2,115941,129752,6,Pass,-13811
226,2023-01-10 09:00:00,Bike,Honda,Petrol,Bangalore,88294,5,179775,66389,2,Pass,113386
227,2023-01-10 10:00:00,Bike,Hero,Petrol,Bangalore,94323,9,171306,88306,8,Pass,83000
228,2023-01-10 11:00:00,Bike,Hero,Petrol,Bangalore,69724,4,163604,40525,10,Pass,123079
229,2023-01-10 12:00:00,Bike,TVS,Petrol,Coimbatore,73725,3,60416,97092,9,Pass,-36676
230,2023-01-10 13:00:00,Bike,Bajaj,Petrol,Bangalore,1879,9,97439,95630,12,Pass,1809
231,2023-01-10 14:00:00,Bike,Hero,Petrol,Coimbatore,28124,1,43242,88471,8,Pass,-45229
232,2023-01-10 15:00:00,Bike,Honda,Petrol,Chennai,92000,7,104324,83211,2,Pass,21113
233,2023-01-10 16:00:00,Bike,Bajaj,Petrol,Bangalore,88927,9,60249,46280,8,Pass,13969
234,2023-01-10 17:00:00,Bike,Bajaj,Petrol,Bangalore,58245,6,125124,139130,3,Pass,-14006
235,2023-01-10 18:00:00,Bike,Honda,Petrol,Coimbatore,52305,1,120049,26240,3,Pass,93809
236,2023-01-10 19:00:00,Bike,Hero,Petrol,Chennai,13016,5,110078,80092,9,Pass,29986
237,2023-01-10 20:00:00,Bike,Honda,Petrol,Coimbatore,79922,7,57294,84541,13,Pass,-27247
238,2023-01-10 21:00:00,Bike,Bajaj,Petrol,Coimbatore,86343,6,159756,77851,9,Pass,81905
239,2023-01-10 22:00:00,Bike,Yamaha,Petrol,Bangalore,25343,0,179867,21544,9,Fail,158323
240,2023-01-10 23:00:00,Bike,Yamaha,Petrol,Hyderabad,6412,4,166503,72981,4,Pass,93522
241,2023-01-11 00:00:00,Bike,TVS,Petrol,Hyderabad,22014,1,114627,32332,12,Pass,82295
242,2023-01-11 01:00:00,Bike,Honda,Petrol,Coimbatore,87859,5,115381,41836,14,Pass,73545
243,2023-01-11 02:00:00,Bike,Honda,Petrol,Bangalore,57532,6,115027,29388,7,Pass,85639
244,2023-01-11 03:00:00,Bike,TVS,Petrol,Chennai,29297,6,95366,128263,13,Pass,-32897
245,2023-01-11 04:00:00,Bike,TVS,Petrol,Hyderabad,6949,2,119176,16694,8,Pass,102482
246,2023-01-11 05:00:00,Bike,TVS,Petrol,Chennai,2225,6,144667,101677,13,Pass,42990
247,2023-01-11 06:00:00,Bike,Bajaj,Petrol,Hyderabad,81906,4,97870,103202,13,Pass,-5332
248,2023-01-11 07:00:00,Bike,Honda,Electric,Bangalore,9804,7,72387,128057,5,Pass,-55670
249,2023-01-11 08:00:00,Bike,Bajaj,Petrol,Coimbatore,73558,7,34304,64294,13,Pass,-29990
250,2023-01-11 09:00:00,Bike,TVS,Electric,Chennai,14163,6,42032,53769,1,Pass,-11737
